time,mw,ms_press_left,ms_temp,rpm,react_pwr,,,,,,
6/17/2021 11:47,291.7,85.559,477,3003,35.71,,,,,,
6/17/2021 11:48,292.13,85.839,477,3005,32.16,,,,,,
6/17/2021 11:49,289.57,85.839,476,3006,33.12,,,,,,
6/17/2021 11:50,288.19,85.593,476,3006,32.54,,,,,,
6/17/2021 11:51,288.14,84.861,476,3005,35.33,,,,,,
6/17/2021 11:52,286.73,84.745,477,3004,32.54,,,,,,
6/17/2021 11:53,286.36,84.581,477,3004,33.41,,,,,,
6/17/2021 11:54,287.11,84.444,477,3005,29.57,,,,,,
6/17/2021 11:55,287.39,84.444,477,3004,28.99,,,,,,
6/17/2021 11:56,288.19,85.012,477,3006,25.06,,,,,,
6/17/2021 11:57,290.65,85.285,477,3007,22.08,,,,,,
6/17/2021 11:58,288.63,85.381,477,3007,16.22,,,,,,
6/17/2021 11:59,289.34,85.066,477,3006,13.54,,,,,,
6/17/2021 12:00,289.76,84.971,477,3006,9.02,,,,,,
6/17/2021 12:01,289.66,85.258,477,3008,2.98,,,,,,
6/17/2021 12:02,288.73,84.916,477,3009,3.26,,,,,,
6/17/2021 12:03,288.77,84.69,477,3010,4.22,,,,,,
6/17/2021 12:04,289.76,84.649,477,3011,1.15,,,,,,
6/17/2021 12:05,291.66,85.066,477,3013,1.34,,,,,,
6/17/2021 12:06,289.34,85.285,477,3012,1.15,,,,,,
6/17/2021 12:07,286.78,84.581,477,3011,-0.96,,,,,,
6/17/2021 12:08,286.73,83.973,477,3010,0.48,,,,,,
6/17/2021 12:09,286.36,83.809,477,3009,3.17,,,,,,
6/17/2021 12:10,286.59,83.563,477,3007,0.19,,,,,,
6/17/2021 12:11,287.95,83.658,477,3007,0,,,,,,
6/17/2021 12:12,286.92,84.185,477,3007,0.29,,,,,,
6/17/2021 12:13,286.64,83.809,477,3007,-3.17,,,,,,
6/17/2021 12:14,286.97,83.214,477,3007,-3.84,,,,,,
6/17/2021 12:15,285.59,83.795,478,3006,-1.34,,,,,,
6/17/2021 12:16,285.98,83.228,478,3006,-2.88,,,,,,
6/17/2021 12:17,286.36,82.954,478,3006,-4.61,,,,,,
6/17/2021 12:18,290.91,83.467,479,3006,-2.59,,,,,,
6/17/2021 12:19,293.51,84.93,479,3007,-1.15,,,,,,
6/17/2021 12:20,296.3,85.948,479,3004,-2.11,,,,,,
6/17/2021 12:21,297.84,86.762,479,3004,-0.67,,,,,,
6/17/2021 12:22,298.08,86.83,479,3004,3.17,,,,,,
6/17/2021 12:23,300.49,87.384,479,3003,-0.58,,,,,,
6/17/2021 12:24,301.31,87.828,478,3003,0.96,,,,,,
6/17/2021 12:25,302.2,87.814,478,3005,0.77,,,,,,
6/17/2021 12:26,303.91,88.088,478,3003,-1.25,,,,,,
6/17/2021 12:27,305.32,88.669,478,3003,-3.26,,,,,,
6/17/2021 12:28,307.64,89.4,479,3004,-4.7,,,,,,
6/17/2021 12:29,308.2,89.906,479,3004,-6.91,,,,,,
6/17/2021 12:30,311.48,90.31,479,3005,-10.56,,,,,,
6/17/2021 12:31,314.32,91.232,480,3004,-12.67,,,,,,
6/17/2021 12:32,316.64,92.34,481,3005,-17.86,,,,,,
6/17/2021 12:33,318.42,93.085,482,3006,-13.73,,,,,,
6/17/2021 12:34,319.48,93.632,483,3005,-19.68,,,,,,
6/17/2021 12:35,319.52,93.481,484,3006,-19.97,,,,,,
6/17/2021 12:36,318.73,93.468,484,3005,-15.46,,,,,,
6/17/2021 12:37,318.56,93.345,485,3003,-14.21,,,,,,
6/17/2021 12:38,319.38,93.194,485,3000,-16.03,,,,,,
6/17/2021 12:39,319.76,93.953,485,2999,-19.39,,,,,,
6/17/2021 12:40,324.82,94.268,484,2999,-16.42,,,,,,
6/17/2021 12:41,323.25,95.566,483,2996,-19.2,,,,,,
6/17/2021 12:42,316.05,95.471,482,2997,-23.62,,,,,,
6/17/2021 12:43,308.44,95.942,481,2998,-26.69,,,,,,
6/17/2021 12:44,300.98,97.856,480,3000,-26.69,,,,,,
6/17/2021 12:45,291.23,100.17,480,3000,-27.07,,,,,,
6/17/2021 12:46,284.84,100.96,480,3000,-28.9,,,,,,
6/17/2021 12:47,282.56,101.5,480,3002,-28.7,,,,,,
6/17/2021 12:48,282.94,101.72,481,3002,-28.13,,,,,,
6/17/2021 12:49,290.84,101.85,483,3001,-27.07,,,,,,
6/17/2021 12:50,297.56,104.3,484,3000,-24.86,,,,,,
6/17/2021 12:51,295.01,104.73,485,2998,-23.14,,,,,,
6/17/2021 12:52,293.11,104.03,487,2998,-23.23,,,,,,
6/17/2021 12:53,289.8,104.11,487,2997,-22.56,,,,,,
6/17/2021 12:54,290.74,104.4,488,2997,-21.6,,,,,,
6/17/2021 12:55,289.85,104.67,489,2997,-29.86,,,,,,
6/17/2021 12:56,293.65,104.95,490,2999,-33.98,,,,,,
6/17/2021 12:57,300.16,105.57,490,3001,-34.56,,,,,,
6/17/2021 12:58,310.95,106.61,491,3001,-41.86,,,,,,
6/17/2021 12:59,328.76,108.29,492,3003,-40.61,,,,,,
